Input smiles,Docking score
OC1Nc2ccccc2N1,-6.4
O=C1CN1Cc1cccnc1,-6.1
O=C1C2Nc3ccncc3CN12,-6.5
Cc1ccc(C(=O)NC(C)C)cc1,-7.2
CC(C)NC(=O)c1cccc(O)c1N,-7.3
O=C(Nc1ccccc1)c1ccccc1,-8.7
O=C(NCC1CCCN1)c1ccccc1,-8.0
O=C(NC1CC=CCC1)c1ccccc1,-8.6
OC(NC1CCCCC1)c1ccccc1,-8.3
O=C(NC1CCCCC1)c1ccccc1,-8.1
O=C(NCc1ccc[nH]1)c1ccccc1,-8.0
CCCC=CCNC(O)c1ccccc1,-7.3
Cc1ccc(C(=O)Nc2ccccc2)cc1,-8.7
O=C(NC1CCCN2CC12)c1ccccc1,-8.5
O=C(NC1CCC(F)CC1)c1ccccc1,-8.3
Cc1ccc(C(=O)Nc2cccc(F)c2)cc1,-8.2
CCN1CC=CC(NC(=O)c2ccccc2)C1,-8.0
CNC1CCCC(NC(=O)c2ccccc2)C1,-8.7
C=Nc1cccc(NC(O)Nc2ccccc2)c1,-7.9
CNc1cccc(NC(=O)c2ccc(C)cc2)c1,-8.8
CNc1cccc(NC(O)Nc2ccccc2)c1,-8.1
O=C(NC1CCCC(N2CC2)C1)c1ccccc1,-8.9
O=C(NC1CCCC(C(F)F)O1)c1ccccc1,-9.0
CCNc1cccc(NC(=O)c2ccc(C)cc2)c1,-8.7
CCNc1cccc(NC(O)Nc2ccccc2)c1,-7.7
Cc1ccc(C(=O)Nc2cccc(N3CC3)c2)cc1,-8.0
OC(Nc1cccc(F)c1)C1CCOc2ccccc21,-8.9
OC(Nc1cccc(F)c1)C1C=COc2ccccc21,-9.0
Cc1ccc(C(=O)Nc2cccc(NC3CC3)c2)cc1,-9.1
CNc1cccc(NC(O)C2CCOc3ccccc32)c1,-7.9
Nc1ccc2c(c1)OCCC2C(O)Nc1cccc(F)c1,-9.3
C=Nc1cccc(NC(O)C2CCOc3ccccc32)c1,-9.0
C=Nc1cccc(NC(O)C2C=COc3ccccc32)c1,-8.9
COc1cccc(NC(O)C2CCOc3ccccc32)c1,-8.3
Fc1cccc(NC2OOc3cccc4c3C2CCO4)c1,-8.8
OC(Nc1cccc(F)c1)C1C2CC2C2OC23C=CC=CC13,-9.1
C=C1Cc2cc(O)ccc2C(C(O)Nc2cccc(F)c2)C1,-10.1
CCNc1cccc(NC(O)C2CCOc3ccccc32)c1,-8.2
CNc1cccc(NC(O)C2CCOc3cc(N)ccc32)c1,-8.1
CC1C=CC(C=CC2CO2)C(C(O)Nc2cccc(F)c2)C1,-8.2
CC1CC(C(O)Nc2cccc(F)c2)C2C=CC=CC23OC13,-8.5
C=Nc1cccc(NC(O)C2CCOc3cc(N)ccc32)c1,-8.4
CC=Nc1cccc(NC(O)C2CCOc3ccccc32)c1,-9.1
CNc1cccc(NC(O)C2CCOC3(CC4CO4)CC23)c1,-7.5
C=C1Cc2cc(N)ccc2C(C(O)Nc2cccc(F)c2)C1,-9.9
C=CNc1cccc(NC(O)C2C=COc3ccccc32)c1,-8.9
C=C1C=CC(C=CC2CO2)C(C(O)Nc2cccc(F)c2)C1,-8.9
CNc1cccc(NC(O)C2C=COc3cc(N)ccc32)c1,-8.7
C=Nc1cccc(NC(O)C2C3CC3C3OC34C=CC=CC24)c1,-9.4
C=C1C=CC(C=CC2CO2)C(C(O)Nc2cccc(NC)c2)C1,-8.0
CC1CC(C(O)Nc2cccc(F)c2)C2C=CC(O)=CC23OC13,-8.4
C=C1CC(C(O)Nc2cccc(NC)c2)C2C=CC=CC23OC13,-8.1
CCNc1cccc(NC(O)C2CCOc3cc(N)ccc32)c1,-8.5
