Input smiles,Docking score
c1ccccc1,-5.1
Cc1ccsc1,-4.3
Cc1ccccc1,-5.6
Fc1ccccc1,-5.4
Nc1ccccc1,-5.5
Fc1ccc(F)cc1,-5.7
Fc1cccc(F)c1,-5.8
COc1ccccc1,-5.4
NC(=O)c1ccccc1,-6.2
Fc1ccc(F)c(F)c1,-6.0
Cc1ccc(F)cc1F,-6.1
OCc1cccc(O)c1,-5.9
O=C(O)c1ccccc1,-6.1
O=[N+]([O-])c1ccccc1,-5.8
c1ccc2ccccc2c1,-7.7
c1ccc2ncccc2c1,-7.1
CC(=O)Nc1ccccc1,-6.3
Cc1ccc(F)cc1C(=O)O,-6.7
COc1cccc2ccccc12,-7.5
Nc1cc(-c2ccccc2)sn1,-7.5
Cc1cc(O)cc2ccccc12,-7.6
CCc1cccc(O)c1C(N)=O,-6.9
O=Cc1cccc(-c2ccccc2)c1,-8.8
N#Cc1ccc(-c2ccccc2)nc1,-8.2
Oc1ccc(-c2ccccc2)c(O)c1,-8.4
CCCNC(=O)CCCc1ccccc1,-7.4
CC=Nc1ccc(-c2ccccc2)cc1,-8.7
O=C1CNC=Cc2nc3ccccc3n21,-7.9
c1ccc(-c2cc3ncccc3s2)cc1,-8.8
NCC(=O)n1cnc(-c2ccccc2)c1,-8.0
c1ccc2ncc(-c3cncs3)cc2c1,-8.2
O=C(O)c1ccnc(-c2ccccc2)n1,-8.2
c1ccc(-c2cnc3cccnc3c2)cc1,-9.2
COc1cc(C(=O)O)cc(C2=CC=CC2)c1,-8.5
c1ccc(-c2ccc3cccnc3c2)cc1,-10.0
c1ccc(-c2cnc3ccccc3c2)cc1,-9.7
c1ccc(-c2ccc3ccccc3c2)cc1,-10.6
Cc1cccc2c1=NCC=2c1ccccc1,-9.2
c1ccc(-c2ccc3nccnc3c2)cc1,-9.5
COc1ccc(-c2ccc(C#N)cc2)cc1,-7.3
CN(C)C1=CC2C(=Nc3cncnc32)C=C1,-7.2
CC(O)C1=CC2C(=Nc3cncnc32)C=C1,-7.8
c1ccc(-c2ncc3ccccc3n2)cc1,-9.3
NC(=O)c1ccc(-c2ccc(F)cc2)cc1,-9.2
CN1CCc2cc3cc(N)nnc3cc2C1,-8.4
CCn1ccc2c(ccc3cccnc32)c1=O,-9.1
O=C(O)c1ccc(NC(=O)C2CCNC2)nc1,-7.1
Cc1cccc2c1=NCC=2c1cccc(O)c1,-9.0
CCc1c(C#N)ccc2c1CCCC2C(=O)O,-7.8
CCn1ccc(-c2cnc3ccncc3c2)n1,-7.7
N#Cc1ccc(-c2cccc(C(N)=O)c2)cc1,-8.6
CCc1c(C(N)=O)ccc2c1CCCC2C(=O)O,-9.1
CN1CCn2c(cc(=O)c3cc(C=O)ccc32)C1,-7.1
O=C1N=C(c2ccc(-c3ccccc3)nc2)CN1,-8.5
Fc1ccc2c(c1)CN=CC2=NNc1cccs1,-8.2
CC1c2cc(=O)c3cc(C=O)ccc3n2CCN1C,-7.5
NCCCCOc1cccc2c1CCCC2C(=O)O,-7.5
Cn1cnnc1-c1ccc2c(c1)CCCC2C(=O)O,-8.8
Fc1ccc2c(c1)CN=CC2=NNc1ccccc1,-8.9
COC1=CC2=Nc3cncnc3C2=C(CC(=O)O)C1,-6.9
CCCCC1C(c2ccncn2)=Nc2cncnc21,-7.3
Cc1cccc2c1=NC1=CC(=O)c3ccncc3C=21,-8.4
Cc1cccc2c1=NC1=CC(=O)c3cc(O)ccc3C=21,-9.8
c1ccc(COc2ccc(-c3cccnc3)cc2)cc1,-8.9
O=C1CC(=NN=Cc2ccccc2)c2ccccc2C1,-9.3
CCC1CCCc2c1ccc1c2CC=CC2C=NN=C12,-9.2
CN1CN=C2C(CCCO)=C(c3ccccc3)C=NC21,-7.5
CCCc1c(CO)c(O)cc2cc3cccnc3nc12,-9.3
C1=CC(c2ccc(OCc3ccccc3)cc2)=COC1,-9.1
CCC1CCCc2c1ccc1c2CCCC2C=NN=C12,-9.4
Oc1cncc(-c2ccc(-c3ccc(F)cc3)cc2)n1,-7.4
CCC1CCCc2c1ccc1c2CCC=C2C(=O)NN=C21,-7.9
COc1cc(C(=O)N2C=C=CCC2)cc(C2=CN=NC2)c1,-7.4
CCC1CCCc2c1ccc1c2CCCC2C1=NNN2C,-9.3
CCC1CCCc2c1ccc1c2CCCC2C(=O)NN=C12,-8.6
COC(=O)N1C=C(c2ccc(CN)cc2)N(C)C1C1CC1,-7.0
C1=C2C(=NC1)NCc1ccc3cc4cccnc4nc3c12,-10.2
COC1=CC2=Nc3cncnc3C2=C2CC(O)CCNC12,-6.5
NC(=O)c1ccc2c(C(=O)NCC(=O)CC=O)cccc2c1,-8.5
Fc1ccc(CC2CC3(CCNC4C=CC=CC43)CN2)cc1,-8.7
CCCNC(=O)CCN(c1cccc(F)c1)C(CC)C(=O)O,-8.1
Cc1cscc1C1C(c2cccc(O)n2)=Nc2cncnc21,-6.7
Cc1[nH]c(=O)[nH]c1-c1cccc2cc(C(=O)N(C)C)ccc12,-9.1
NC(=O)c1ccc2c(C(=O)NCC(=O)CCO)cccc2c1,-7.7
CC=CCCN(C)C(=O)c1cc(OC)cc(C2=CN=NC2)c1,-6.8
Fc1ccc(CC2CC3(CCNC4C=CCCC43)CN2)cc1,-9.6
Cc1cccc(CNc2cncc(-c3ccc(O)cc3)n2)c1,-9.4
CCc1c(-c2n[nH]c(=O)[nH]2)ccc2c1CC(C)CCC2CC,-7.1
c1ccc(CC2C(c3ccncn3)=Nc3cncnc32)cc1,-8.0
CCCNC(=O)CCN(c1cccc(F)c1)C(CC)C(=O)NC,-7.4
COCC1=CC2=C(Oc3ccccc3C2)C(=Nc2cccs2)C1,-8.3
CC(=O)N1CN=C2C(C3CCCO3)=C(c3ccccc3)C=NC21,-7.6
O=C1NN=C2C1=CCCc1c2ccc2c1CC(O)CC2C(O)O,-10.3
O=C1Cc2c(ccc3c2CCC=C2C(=O)NN=C23)C(C(O)O)C1,-10.9
O=C1CC2CC(=NN=Cc3ccccc3)c3ccccc3C2N1,-8.8
O=C(O)C1=C(c2ccc(OCc3ccccc3)cc2)C=CCO1,-7.9
OCc1c2c(cc3c1OCCn1cnnc1C3)CCC(CO)C2,-6.5
CCCC1CCCN(C(=O)c2cc(OC)cc(C3=CN=NC3)c2)C1,-7.2
O=C(NCC1=CCCC1)c1cncc(-c2ccc([N+](=O)[O-])cc2)n1,-8.4
NC(=O)c1ccc2c(c1)CCCC2C(O)c1ccc(C(=O)O)cn1,-9.3
CC1C(C(=O)O)Cc2ccc(OCCCC(=O)O)c3c2C1CCC3,-7.8
CCCc1cc(F)c2c(c1)CC1=C(O2)C(=Nc2cccs2)C=C=C1,-7.1
CN(C)C(=O)c1ccc2c(-c3ccccc3C(=O)O)cccc2c1,-8.3
CCCCCC(=O)Nc1cccc2c1C(O)CC1(CCCCO1)C2,-7.5
COc1ccc(-c2ccccc2)cc1CC(=O)NC1CCCC1C,-9.5
CN=Cc1ncncc1-c1ccc(OCc2ccccc2)cc1F,-7.6
Cc1nnc(-c2ccc3c(-c4cc(F)ccc4C)cccc3c2)[nH]1,-11.8
O=C1C=CC(=Nc2cccs2)C(Oc2ccc3ccccc3c2)=C1,-9.1
