Input smiles,Docking score
N=[N+]=[N+]=C(Cc1ccc2ccccc2c1)[N+](=O)[O-],-10.1
N=[N+]=Nc1c(N=[N+]=N)c(N=[N+]=N)c2ccccc2c1O,-8.3
[N-]=[N+]=NCC[S](O)c1ccc2ccccc2c1,-8.0
C[N+]1(C)Cc2cc3ccccc3c(N=[N+]=N)c2C1,-7.0
C#Cc1ccc2cc(OC)ccc2c1,-8.4
N=[N+]=Nc1ccc(N=[N+]=N)c2c(O)cccc12,-8.1
Cc1cc(N=[N+]=N)nc2ccc3ccccc3c12,-9.1
CCN1C(=O)c2cccc3c(N=[N+]=N)ccc1c23,-8.2
CC#CCSc1cccc2ccccc12,-7.7
[N-]=[N+]=NCCOc1cccc2ccccc12,-8.0
N=[N+]=NCOC(=O)Oc1ccc2ccccc2c1,-8.4
N=[N+]=Nc1c2ccccc2c(C=O)c2ccccc12,-7.5
N=[N+]=Nc1ccc(Cl)c2cccc(O)c12,-8.2
[N-]=[N+]=NC(=O)c1cccc2ccccc12,-8.5
O=C([O-])C#Cc1ccc2ccccc2c1,-8.7
N=[N+]=Nc1c(Cl)c(Cl)c2ccccc2c1O,-8.2
O=C([O-])C#Cc1cccc2ccccc12,-7.9
C#CCSc1cccc2ccccc12,-7.8
CC#CC[N+](C)(C)Cc1cccc2ccccc12,-8.0
N=[N+]=Nc1c(N=[N+]=N)c(N=[N+]=N)c2ccccc2c1O,-8.4
N=[N+]=Nc1ccc(Cl)c2ccccc12,-8.2
N=[N+]=[N+]=C(Cc1cccc2ccccc12)[N+](=O)[O-],-10.0
C#CCOc1cc2ccccc2cc1C(=O)[O-],-8.4
N=[N+]=Nc1ccc2c3c(cccc13)C(=O)N2,-8.8
N=[N+]=Nc1ccc2c3c(ccc(Cl)c13)CC2,-8.3
[N-]=[N+]=Nc1cccc2ccccc12,-8.1
N=[N+]=Nc1cccc2ccc([N+](=O)[O-])cc12,-8.9
N=[N+]=Nc1cc(Cl)c2c3c(cccc13)C(=O)N2,-8.3
N=[N+]=Nc1ccc2c3c(ccc(Cl)c13)CC2,-8.2
CC#CCOc1ccc2ccccc2c1,-8.3
[N-]=[N+]=NC[C@@H](O)COc1cccc2ccccc12,-8.0
N=[N+]=Nc1c(Cl)c(O)c2ccccc2c1N=[N+]=N,-7.9
N=[N+]=Nc1c(N=[N+]=N)c(Cl)c2ccccc2c1O,-8.1
COC(=O)C#Cc1ccc2ccccc2c1,-8.5
C#Cc1cccc2ccccc12,-7.7
C#CCOC(=O)Cc1cccc2ccccc12,-8.4
N=[N+]=Nc1ccc2cc(O)ccc2c1,-8.4
N=[N+]=Nc1ccc2c3c(ccc(N=[N+]=N)c13)CC2,-8.3
C#Cc1ccc2ccc3cccc4ccc1c2c34,-9.9
N=[N+]=Nc1c(N=[N+]=N)c(N=[N+]=N)c2ccccc2c1O,-8.2
