Input smiles,Docking score
[N-]=[N+]=Nc1c(Cl)c(OC[C@@H](N)C(=O)NO)c2c3c(ccc([NH+]=NN)c13)C=C2,-7.7
O=C=Nc1ccc(F)c2ccccc12,-7.9
[N-]=[N+]=Nc1c(Cl)c(OC(=S)NC(=O)COc2ccccc2Cl)c(Cl)c2ccccc12,-7.9
CC1(C)OC(=O)C=C1Oc1ccc2c3c(ccc(N[NH+]=[N-])c13)C=C2,-7.2
[N-]=[N+]=Nc1c(Cl)c(OCCCC(N)=O)c2cccc3c2c1NC3=O,-7.2
COCCc1nnn(-c2c(C#N)c(Cl)c3cccc4c3c2[N-]C4=O)c1C(=O)N(C)C,-3.9
COc1ccc2c(ccc3sc(C#N)c(NC(=S)Nc4ccc(Cl)c(F)c4C#N)c32)c1,-6.0
Cc1cc(N=C=O)[nH+]c2ccc3ccccc3c12,-9.0
CCC[C@H](N)COc1c(N=[N+]=[N-])c(N=[N+]=[N-])c(O)c2ccccc12,-6.0
O=C(C#Cc1ccc2ccccc2c1)NC(=O)[C@H](F)Cl,-9.0
[N-]=[N+]=Nc1ccc(N=[N+]=[N-])c2c([O-])cccc12,-7.6
N#Cc1c(N=[N+]=[N-])c(Cl)c(N=[N+]=[N-])c2ccccc12,-6.4
[N-]=[N+]=Nc1c(N=[N+]=[N-])c(OC(=O)Nc2cc(F)cc(C(F)(F)F)c2)c2ccccc2c1Cl,-9.1
Nc1c(Cl)c(Cl)c2ccccc2c1Cl,-7.1
COC(=O)[C@@H](OC1=Nc2c([O-])c(N=[N+]=[N-])c(N=[N+]=[N-])c3cccc1c23)[C@@H](O)c1cccc(Cl)c1,-6.9
Cc1nnn(CCO[C@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)c1-c1cccc2ccccc12,-7.8
C=CCN(C)CC(=O)OC1=Nc2c(O)c(N=[N+]=[N-])c(N=[N+]=[N-])c3cccc1c23,-7.0
Cc1cc(N)nc2ccc(N=C=S)cc12,-7.1
C#CCCN[C@@](C)(CC)Cc1cn(-c2c(N=[N+]=[N-])c(Cl)c(F)c3ccccc23)nn1,-7.6
CC[C@H](C(C)=O)C(=O)Oc1[n-]c2c3c(cccc13)C(Cl)=C(Cl)C2=N,-7.8
[N-]=[N+]=Nc1c(Cl)c(Cl)c(N=C=S)c2cccc(O)c12,-6.2
Nc1c2ccccc2c(C=O)c2ccccc12,-8.2
C#CCOC(=O)Nc1ccc2c3c(cccc13)C(=O)N2CC,-7.6
[N-]=[N+]=Nc1c(Cl)c(OC(=S)N[C@@H]2CS(=O)(=O)C[C@@H]2Cl)c2c3c(ccc([NH+]=NN)c13)C=C2,-6.6
Cc1cc(N)nc2ccc3ccccc3c12,-8.9
[N-]=[N+]=Nc1c(Cl)c(N=[N+]=[N-])c2ccccc2c1OC(=O)[C@@H]1C[C@H]1N,-6.2
Cc1nnn(-c2c(N=[N+]=[N-])c(Cl)c(Cl)c3ccccc23)c1CO[C@@H](C)CC(C)C,-5.4
[N-]=[N+]=Nc1ccc2c3c(ccc(-n4cc(Cc5cnsc5)nn4)c13)CC2,-7.6
C[C@@H](Oc1c(N=[N+]=[N-])c(O)c2ccccc2c1Cl)[C@@H]1CCOC1,-6.7
C[C@@H]([NH2+]c1ccc2c3c(cccc13)C(N=[N+]=[N-])=N2)[C@@H]1CO1,-7.9
N=NNc1ccc2c3c(ccc(N)c13)C=C2,-8.0
N#Cc1sc2ccc3ccccc3c2c1N,-8.2
Cc1ccc2c(c1)N(C(=O)Cn1nnc(C)c1-c1ccc3ccc4cccc5ccc1c3c45)CCO2,-8.2
Nc1c(Cl)c(Cl)c2cccc3c2c1[N-]C3=O,-8.2
Cc1cc(NC(=S)N(N=N)c2ccc3cc4c(cc3c2)C[N+](C)(C)C4)c(C)cc1Cl,-7.4
CCC=C(C#N)[N-]c1ccc2c3c(ccc(Cl)c13)CC2,-7.6
C=CCCCc1cn(-c2cc(C)c3c(ccc4ccccc43)[nH+]2)nn1,-9.6
N#Cc1ccnc(Oc2cccc3c([NH+]=NN)ccc(N=[N+]=[N-])c23)c1F,-6.9
O=C=Nc1c(Cl)c(Cl)c2ccccc2c1Cl,-7.2
