Input smiles,Docking score
CCC1=CCN(CC)C=C1,-5.1
CCCC(=O)n1cccc1,-5.1
N#Cc1ccn2cccnc12,-5.1
CCCCN1CCC(CCC)C1,-5.3
CNc1ccn2ccc(C#N)c2n1,-5.7
Cc1cn2ccc(N)nc2c1C=N,-6.3
N=CC=Nc1ccn2c1CC=NC2=O,-6.0
O=C1N=CCc2c3nccnc3cn21,-6.1
Nc1cnc2c3n(cc2n1)C(=O)N=CC3,-6.4
CNc1cc(C2NC2O)n2cccc2n1,-6.8
O=C1CN2CC2c2c3nccnc3cn21,-5.9
C=CCC1C=CN(C)N2C=C(C(C)CC)CN12,-6.6
NC1CC1NC1=CC2=CC=NC3=CC=CC1N23,-7.8
NC1CC1NC1=CC2=CN=CC3=CC=CC1N32,-7.3
C=CCC1=CC=C(C)N2C=C(C(C)CC)CN12,-7.2
CCC1=CC=CN2C1=NC(N)=CC2C(=O)NC,-7.0
NC1CC1Nc1cc2n3c(cccc13)=NN1CC=21,-7.8
Cc1cn(C2CN(C)CC23C=C3)c2c1CC1CN21,-8.3
CCC1=CC=CN2C1=NC(N)=C1N=CNC(=O)C12,-7.5
CCC1=CC=CN2C1=NC(N)=C1NCNC(=O)C12,-8.1
CCC1=CC=CN2C1=NC(N)=CC2C(=O)N1CC1,-7.3
CCCC1=CC=C(COC)N2C=C(C(C)CC)CN12,-6.8
C=CC1C2CN2N2CC3C=CN=C4NN=C(NC12)C43,-7.0
C=CCC1=CC=C(COC)N2C=C(C(C)CC)CN12,-7.0
CC=CC1=CC=C(COC)N2C=C(C(C)CC)CN12,-7.1
N=C1CNC2=C3C=CC=CN3C(=C=CCCC3CO3)C2N1,-8.6
C=CCC(CCc1cnc[nH]1)N1CC(C(C)CC)=C2CN21,-7.2
CN1CNC(=C=C2C3CC(=N)CNC3=C3C=CC=CN23)C1,-9.0
Cc1cn2c(CN3CC3)ccnc2c1CNC1CCCNC1,-8.2
Cc1cn2c(CNC3CC3)ccnc2c1CNC1CCCNC1,-8.1
NC1=CC2CCCC3=NC(N)=C(CCN4C=CN=CC4)C(=N1)N32,-8.0
NC1=NC2=CC=NC3=CC=NC(=C1CCN14NC5c6cc1c4n65)N32,0.0
CCCc1cc2c3c(c(CNC4C=CC=C4)n2n1C)NCNC3O,-8.4
C1=NN2C3=NOC4CC4C3C(N3CCCC3)NC2C2=C1CNCC2,-10.0
[NH]C(Nc1cccc2c1N2)C1=C(N)N=C2CCCC3C=CN=C1N23,-8.9
COC1CCC2C=C(N)N=C3C(CCn4cccc4)=C(N)N=C1N32,-8.0
C1=NN2C(NC(N3CCC4CC43)=C3C4=C(C4)N=NC32)C2=C1CNCC2,-10.0
C1=CN(C2NC3C4=C(C=NN3C3=NOC5CC5C32)CNCC4)C2CC12,-9.6
COC1CCC2C=C(N)N=C3C(CCn4ccc(F)c4)=C(N)N=C1N32,-8.2
NC1=CN(C2CO2)c2c(c3n4c(cccc24)OC2C=CC(F)=CC=32)=N1,-9.7
NC1=CN(CCO)c2c(c3n4c(cccc24)OC2C=CC(F)=CC=32)=N1,-9.5
CCCc1cc2c3c(c(CNC4CCCCC4)n2n1C)NCNC3O,-8.2
CC1=C=C2CCCN3C(=O)C(CN=C(N)N)C(C)C(NC(C)C1C)N23,-8.0
OC12C=CN(C3=C4C(=NOC5=C4C5)N4N=CC5=C(CCNC5)C4=N3)C1C2,-11.4
C1=NN2C3=NN4C5=C(C3=C(N3CCC6CC63)NC2C2=C1CN1CC1C2)C54,0.0
FC1C2ON=C3C(C12)C(N1C=CC2CC21)NC1C2=C(C=NN31)CNCC2,-8.8
CNC1CC1c1c(N2C=CC3CC32)nc2c3c(cnn2c1=N)CNCC3,-9.2
OC12C=CN(C3NC4C5=C(C=NN4C4=NOC6CC6C43)CNCC5)C1C2,-9.7
CN1C2CCC3=C(C=NN4C5=NN6C7=C(C5=C(N5CCC8CC85)NC34)C76)C21,0.0
FC1C2ON=C3C(C12)C(N1C=CC2CC21)NC1C2=C(C=NN31)C1CN1CC2,-7.7
CN1N=C2C(=C(N3CCC4CC43)NC3C4=C(C=NN23)CN2CC2C4)C2=C1C2,-10.5
NC1C2=C1C1=C(N3C=CC4(O)CC34)N=C3C4=C(C=NN3C1=NO2)CNCC4,-9.8
[NH]C1([NH])C2ON=C3C(C(N4CCOCC4)NC4C5=C(C=NN34)CNCC5)C21,-9.0
NC1C2ON=C3C(C12)C(N1C2CC2C2CC21)NC1C2=C(C=NCC2)C=NN31,-10.3
CCn1cc2c(c1)C1NC(N3CCC4CC43)=C3C(=NN(C)C4=C3C4)N1N=C2,-9.6
NC1C2ON=C3C(C12)C(N1C=CC2(O)CC12)NC1C2=C(C=NN31)CNCC2,-9.4
C1=NN2C3=NN4C5=C(C3=C(N3CC6COC7C(O6)C73)NC2C2=C1CNCC2)C54,0.0
[NH]C1([NH])C2=C1C1=C(N3C=CC4(O)CC34)N=C3C4=C(C=NN3C1=NO2)CNCC4,-10.6
NC1=NC2=C(CCCF)N=NC3=CC=NC(=C1CCN14NC5c6cc1c4n65)N32,0.0
CN1CCC2=C(C=NN3C2=NC(N2C4CC4OC4CC42)=C2C3=NOC3=C2C3)C1,-10.5
COC12C=CN(C3=C4C(=NOC5=C4C5N)N4N=CC5=C(CCNC5)C4=N3)C1C2,-8.6
CNC1C2ON=C3C(C12)C(N1C=CC2(O)CC12)NC1C2=C(C=NN31)CNCC2,-6.7
C1CN2C3CCC4=C(C1=NN1C5=NN6C7=C(C5=C(N5CCC8CC85)NC41)C76)C32,0.0
C1=NN2C3=NOC4CC4C3C(N3CC4COC5C(O4)C53)NC2C2=C1CNCC2,-9.0
N=CC1=C(CNC2CC2(F)F)C2=NN(C3CC3)C=C(CN3CC=CC=N3)N2N1,-8.3
C1=NN2C3=NOC4CC4C3C(N3CC4COC5C(O4)C53)NC2C2=C1CCCC2,-10.4
C1=NN2C(=NC(N3CC4COC5C(O4)C53)=C3C2=NOC2=C3C2)C2=C1CNCC2,-10.8
FC1C2ON=C3C(C12)C(N1CC(N2CC2)C2CC21)NC1C2=C(C=NN31)CNCC2,-8.0
NC1C2ON=C3C(C12)C(N1CC(N2CC2)C2CC21)NC1C2=C(C=NN31)CNCC2,-9.1
NC1C2ON=C3C(C12)C(N1CC(CO)OC2CC21)NC1C2=C(C=NN31)CNCC2,-8.2
N=C1C2ON=C3C(C12)C(N1CC(N2CC2)C2CC21)NC1C2=C(C=NN31)CNCC2,-7.7
FC1C2ON=C3C(C12)C(N1CC2COC4C(O2)C41)NC1C2=C(C=NN31)CNCC2,-7.2
CNC(CCC(C)N1CCOCC1)=NC1=NC2CCCOC(C)C(=O)N2C(C)C1,-7.9
C1CC2=NN3C4=NN5C6=C(C4=C(N4CCC7CC74)NC3C3=C2C2C(CC3)N2C1)C65,0.0
NC1=CN(CCC2OC2CO)c2c(c3n4c(cccc24)OC2C=CC(F)=CC=32)=N1,-9.8
FC1(F)CC1N(C1CC1)C1NC2C3=C(C=NN2C2=NOC4CC4C21)CN1CC1C3,-9.6
OCCNC1CN(C2=C3C(=NOC4=C3C4)N3N=CC4=C(CCNC4)C3=N2)C2CC12,-9.3
NC1C2ON=C3C(C12)C(N1CC2COC4C(O2)C41)NC1C2=C(C=NN31)CNCC2,-6.8
C1=NN2C(=NC(N3CC(NC4CC4)C4CC43)=C3C2=NOC2=C3C2)C2=C1CNCC2,-9.6
NC1C2ON=C3C(C12)C(N1CC2COC4C(O2)C41)NC1C2=C(C=NN31)CCCC2,-8.7
CCN1CCC2=C(C=NN3C4=NOC5C(N)C5C4C(N4C5CC5C5CC54)NC23)C1,-7.6
NC1=CN(CCC2OC2C2CO2)c2c(c3n4c(cccc24)OC2C=CC(F)=CC=32)=N1,-10.1
OC1CC1NC1CN(C2=C3C(=NOC4=C3C4)N3N=CC4=C(CCNC4)C3=N2)C2CC12,-9.3
NC1C2ON=C3C(C12)C(N1CC(N2CC2)C2CC21)NC1N3N=CC2CNCC3CC231,-4.9
CNC(CCC(C)N1CCOC(C)C1)=NC1=NC2CCCOC(C)C(=O)N2C(C)C1,-8.0
CC12COC3C(O1)C3N(C1NC3C4=C(C=NN3C3=NOC5C(N)C5C31)CNCC4)C2,-7.7
NC1=CN(CC2CCCC3CN23)c2c(c3n4c(cccc24)OC2C=CC(F)=CC=32)=N1,-10.8
COCC1OC1CCN1C=C(N)N=c2c1c1cccc3n1c2=C1C=C(F)C=CC1O3,-9.1
CC12CC1N(C1NC3C4=C(C=NN3C3=NOC5C(N)C5C31)CNCC4)C(=O)C2(F)F,-8.2
N=C1C2ON=C3C(C12)C(N1CC(N2CC2)C2CC21)NC1C2=C(C=NN31)C1CN1CC2,-8.1
[NH]C1([NH])C2ON=C3C(C(N4CC(CO)OC5CC54)NC4C5=C(C=NN34)CNCC5)C21,-7.1
COCC(CO)NC1CN(C2NC3C(C)=C(C)C=NN3C3=NOC4CC4C32)C2CC12,-7.8
NC1=CN(C(=O)C23CCCN2C3)c2c(c3n4c(cccc24)OC2C=CC(F)=CC=32)=N1,-11.1
NC1C2ON=C3C(C12)C(N1CC(N2CC2)C2CC21)NC1C2=C(C=NN31)C1CN1CC2,-9.5
CCN(CC)C1CN(C2=C3C(=NOC4=C3C4)N3N=CC4=C(CCNC4)C3=N2)C2CC12,-8.8
CCN1CCC2=C(C=NN3C4=NOC5CC5C4C(N4CC5COC6C(O5)C64)NC23)C1,-8.6
[NH]C1([NH])C2ON=C3C(C(N4CC(N5CC5)C5CC54)NC4C5=C(C=NN34)CNCC5)C21,-5.1
[NH]C1([NH])C2ON=C3C(C(N4CCC5C4C5(O)CO)NC4=C5CC=NC=C5C=NN34)C21,-8.6
N=C1C2ON=C3C(C12)C(N1CC(N2CC2)C2CC21)NC1N3N=CC2CNCC3CC231,-8.8
[NH]C1([NH])C2ON=C3C(C(N4CCC5C4C5(O)C(F)F)NC4=C5CC=NC=C5C=NN34)C21,-6.6
OCC(CO)NC1CN(C2NC3C4=C(C=NN3C3=NOC5CC5C32)CNCC4)C2CC12,-8.8
NC1=C2ON3CC(O)CCC3CN2c2c(c3n4c(cccc24)OC2C=CC(F)=CC=32)=N1,-11.7
CNC1CC1c1c(N2CCC(N34CCCC3C4)C2)nc2c3c(cnn2c1=N)CNCC3,0.0
OC12CC1N(C1=C3C(=NOC4=C3C4(F)F)N3N=CC4CNCC5(O)CC45C3=N1)CC2F,-9.1
CC1CCCN1C1CN(C2=C3C(=NOC4=C3C4)N3N=CC4=C(CCNC4)C3=N2)C2CC21,-9.8
NC1=CN(C2OC2CC2NC2CO)c2c(c3n4c(cccc24)OC2C=CC(F)=CC=32)=N1,-10.6
C1=NN2C(=NC(N3CC(N4CCOCC4)C4CC43)=C3C2=NOC2=C3C2)C2=C1CNCC2,-10.2
CC1=C(C)C2NC(N3CC(NC4=CCCNC4O)C4CC43)C3C(=NOC4CC43)N2N=C1,-7.7
CCn1cc2c(c1)C1NC(N3CCC4(C5CO5)CC34)C3C(=NOC4C3C4([NH])[NH])N1N=C2,-8.9
COCC1(O)C2CCN(C3NC4=C5CC=NC=C5C=NN4C4=NOC5C(C43)C5([NH])[NH])C21,-7.6
OC1CN(C2=C3C(=NOC4=C3C4(F)F)N3N=CC4CNCC5(O)CC45C3=N2)C2CC12O,-9.1
