Input smiles,Docking score
O=C(O)c1cccc(F)c1,-5.5
CN(C)c1cc[nH]c(=O)n1,-4.6
COc1ccccc1C(=O)O,-5.2
O=C1NCC2=CCCCCN12,-6.0
O=C1CNC(=O)N2CCCCC12,-6.1
CCCOc1ccccc1C(=O)O,-5.8
CCCN1CC2=NN=CC2=NC1=O,-5.5
CNCCNC(=O)c1cccn1C,-5.4
Cn1cccc1C(=O)NCC(=O)O,-5.6
CCC1C(=O)NC(=O)C2=C1CCCC2,-7.2
CN1C=C2C(=O)N(C)CCCC2C1=O,-6.1
CCCCOc1ccccc1C(=O)O,-6.1
CC1(C)C(=O)NC(=O)C2=C1CCCC2,-7.3
CCCCN1C(=O)CC(CO)NC1=O,-5.5
CN1C(=O)C(=O)N2CCCC=C2C1O,-6.1
CN(C)CCNC(=O)C1=CC=CCN1C,-5.6
O=C1N=C2CC=CC=C2C2CCCCN12,-8.1
O=c1c2c(cc3n1CCC(O)C3)C=CC2,-8.1
CCCCN1C(=O)N=C2CC=CC=C2C1=O,-7.4
CC1CCN2C(=O)C(=O)N3CC=CC=C3C2O1,-7.6
O=C(O)C1CCCC1Cc1ccc(C(=O)N2CCCC2)cc1,-9.3
O=C1CCN(C(=O)c2ccc(CC3CCCC3C(=O)O)cc2)C1,-9.0
COC1=CC2NC3(C)CC(C(N)=O)CC3n3cnc(c32)C(=O)N1,-8.6
COc1ccc2ccc(C(NC(=O)NC(C)C)C(=O)O)nc2c1,-7.7
CC1(C)CCN(CCC(=O)NC2CCCC3N=C(C(=O)O)C=C32)C(=O)C1,-7.8
CC1(C)CCN(CCC(=O)NC2CCCC3N=C(C(N)=O)C=C32)C(=O)C1,-8.5
CNC(=O)c1cn2c(c(C(=O)O)c1=O)CN(c1cccn(C)c1=O)CC2=O,-8.1
CC=CC1=CCN(Cc2ccc3n(c2=O)C(C(=O)NCC(=O)O)CC3)CC1,-8.6
CCCC1CCC(Cc2ccc3c(=O)n4c(cc3c2)NC(=O)CC4)C1C(=O)O,-9.6
CCNc1nn2ccc(-c3cncc(CNC(=O)CO)c3)cc2c1C(=O)NC,-8.9
CC1CCN(C(=O)CN2CCC3C4=C(C2=O)C2=C(CC=CC2)[SH]4CC3O)CC1,-10.4
Cc1cn(Cc2ccc3c(=O)n(C)c4cc(O)ccc4c3c2)c(=O)c(C)c1O,-10.6
N#CC1C=C2C(CCCC2NC(=O)CCN2CCc3ccccc3C2=O)CC1,-9.7
N#CC1=CCC2CCCC(NC(=O)CCN3CCc4ccccc4C3=O)C2=C1,-10.0
CC(C)CC1=C2N=C3CC(=O)N(C4CC(=O)CNC4=O)CC3=C2C=C(F)C1=O,-9.6
CC=CC1=CCN(Cc2ccc3n(c2=O)C(C(=O)NCC(=O)O)CC3)C(=O)C1,-8.1
Cc1c(CNC2=CC(O)CN(C)C2=O)nn2c1C(=O)N(C(C)(C)C)C(=O)C2C,-7.3
CN1C2=NC(=O)Cc3c(F)ccc(c32)-c2cn(C3CCCNC3=O)c(=O)cc21,-11.0
COC(=O)Cn1cc(F)cc(C(=O)N2COc3cccc(CC(=O)O)c3C2)c1=O,-8.7
COC(=O)Cn1cc(F)cc(C(=O)N2COc3ccc4c(c3C2)CCCC4)c1=O,-9.0
CC1CCN(C(=O)CN2CCC3C4=C(C2=O)C2=C(CC=CC2)[SH]4C=CC3O)CC1,-10.5
COCCc1nnc(C)c2c1CN(C(=O)CC1CC3CN(C)CCN3C1=O)CC2,-8.0
O=C1NCCCC1n1cc2c(cc1=O)nc(-c1ccccc1)c1cc(=O)ccn12,-11.4
COC(=O)Cn1cc(F)cc(C(=O)NCc2c(NC(C)=O)ccc(O)c2O)c1=O,-7.9
O=C1C=C2CCN(CCC(=O)NC3CCCC4N=C(C(=O)O)C=C43)C(=O)C2CC1,-9.3
O=C(O)Cn1cc(F)cc(C(=O)N2CCC(=C3C=CC=C(C(=O)NO)C3)C2)c1=O,-9.7
COC(=O)Cn1cc(F)cc(C(=O)NCc2c(NC(N)=O)ccc(O)c2O)c1=O,-8.1
CCCC1=C(C)C2=CCOC2=C(Cc2cnc3c(c2)C(=O)N(CCO)CN3C)N1,-8.7
Cc1c(CCO)ccc(=O)n1Cc1cc2cc(O)cc3c2n(c1=O)C(C)CN3C,-8.8
CC(=O)N1CCC2C=C(C3C(N)=NC(=O)N4CCOCC34)Nc3nc(N)nc1c32,-10.6
CN(C)CCC1=C2N=C3CC(=O)N(C4CC(=O)CNC4=O)CC3=C2C=C(F)C1=O,-9.5
CCC1C=CC2=C(O)Cc3cc(CN(C)CC(=O)NCCOC)c(O)cc3C2=C1,-8.4
Cc1c(CCO)ccc(=O)n1Cc1cc2cc(CO)cc3c2n(c1=O)C(C)CN3C,-8.6
CN(C)C1=CC(C(=O)O)C(=O)c2cc3n(c(=O)c21)CCN(c1cccn(C)c1=O)C3,-7.2
CNC(=O)C1=CCC2CCCC(NC(=O)CCN3CCc4ccccc4C3=O)C2=C1,-9.9
CC1=NC2=C(CCc3cc(CO)ccc32)C2CN(c3cccn(C)c3=O)C(C)CN12,-9.9
O=C1NCCCC1n1cc2c(cc1=O)nc(-c1cccc(O)c1)c1cc(=O)ccn12,-11.6
CCC(=O)Nc1ccc(O)c(O)c1CNC(=O)c1cc(F)cn(CC(=O)OC)c1=O,-7.9
Cc1c(CNC2=CC(O)CN(C)C2=O)nn2c1C(=O)N(c1ccccc1)C(=O)C2C,-9.0
CCCC1N=C(Nc2ccccc2O)C(CCO)=C(CNc2cccn(C)c2=O)N1,-8.2
COc1cc2c3c(c1)cc(Cn1c(C)c(CCO)ccc1=O)c(=O)n3C(C)CN2C,-8.3
COCCNC(=O)CN(C)Cc1cc2c(cc1O)C1=CC(N(C)C)C=CC1=C(O)C2,-7.8
Cc1c(O)cc2c3c1cc(Cn1c(C)c(CCO)ccc1=O)c(=O)n3C(C)CN2C,-8.9
COC(=O)C1=CCC2CCCC(NC(=O)CCN3CCc4ccccc4C3=O)C2=C1,-9.6
NC1CCCn2c1nc1ccc(-c3cnc4cccc5c4c3CC(O)C5)cc1c2=O,-12.1
COCCNC(=O)CN(C)Cc1cc2c(cc1O)C1=CC(C(C)O)C=CC1=C(O)C2,-8.5
