Input smiles,Docking score
[N-]=[N+]=Nc1ccccc2cc(c(N=[N+]=[N-])c1)C(=O)N(C(=O)[C@H](N)CON)C2=O,-9.6
C#CC1=CC=C2C=C[C@@H]3CCCC[C@@H]([NH+]=NN)C[C@@]1(N=C=S)[C@H]2C3,-9.2
C#CC1=Cc2cc(c(=O)[nH]c2OC(=O)[C@@H](N)Cc2ccc(F)cc2)C(Cl)=CC(N=[N+]=[N-])=CC1=NN=N,-9.0
[N-]=[N+]=Nc1ccc2cc3nc(C=NN=N)[nH]c3cc2c1,-9.0
N#Cc1cc(N=[N+]=[N-])ccccc2cc1C(=O)N(C(=O)C(F)(F)CN)C2=O,-6.0
C#Cc1cc2cc(ccc(N)cc1N=C(C)C#N)C=C2,-8.0
C#CC1=Cc2c(=O)n([O-])c(OC(=O)NCOc3ccccc3)c3cccc(c23)C1=N,-9.8
COC(=O)c1ccc(OC(=O)N2NC(=N)OC2c2cccc3ccccc23)cc1,-9.1
C#Cc1cc2c3c(cccc3c1N=[N+]=[N-])C(=O)N([O-])C2=O,-9.7
N#CC[C@H]1CC[C@@H]1C(=O)N1NC(C=NN=N)OC1c1cccc2ccccc12,-10.1
C#Cc1cc2c3c(cccc3c1NC(=O)NCCOCCOC)C(=O)N(O)C2=O,-8.4
CCC(=O)NCC(=O)Oc1[nH]c2c3c(cccc13)C(=[N+](C)C1CC(C)C1)C=C2N=[N+]=[N-],-9.5
CC(C)(C)OC(=O)NCCCn1cc(Cc2ccc3ccc4cccc5ccc2c3c45)nn1,-9.9
CCc1nnn(-c2ccccc3[nH]c(C=NN=N)nc3cc(C#N)c2)c1C(=O)N(CC)CC,-4.7
Cc1nnn(C[C@H](O)c2cccc(F)c2)c1-c1cc2c3c(cccc3c1N=[N+]=[N-])C(=O)N([O-])C2=O,-10.9
C[C@H](O)c1c(CC(F)(F)F)nnn1-c1ccccc2nc(C=NN=N)[nH]c2cc(C#N)c1,-5.9
CCc1nnn(-c2ccc3cc4nc(C=NN=N)[n-]c4cc3c2)c1CN(C)CCCF,-8.8
[H]N=NN=C1C=C(N)C=C[C]2C[C](C=C1C#C)C(=O)N([O-])C2=O,-6.4
CCCC[C@@H](NC(=S)Oc1[n-]c2c3c(cccc13)C(=[N+](C)C1CC(C)C1)C=C2N=[N+]=[N-])C(=O)OC,-8.1
Cc1nnn([C@@H]2CCN(C(=O)OC(C)(C)C)C[C@H]2F)c1-c1cc2c3c(cccc3c1N=[N+]=[N-])C(=O)N(O)C2=O,-9.1
C#CC1=CC=C2C=C[C@@H]3CCCC[C@@H](N(CCC4CC4)N=N)C[C@]1(N=[N+]=[N-])[C@H]2C3,-8.4
C#Cc1cc2cc(ccc(N)cc1[NH2+]N=N)C=C2,-8.4
CC1=C[C@@H](C(=O)N2NC(N=[N+]=[N-])OC2c2cccc3ccccc23)SC1,-9.7
N=NN=Cc1[nH]c2cc3cc(N)ccc3cc2[nH+]1,-8.7
Cc1nnn(-c2cc(C)c3c(ccc4ccccc43)n2)c1CNC(=O)c1cocn1,-9.7
N#Cc1cc(NC(=O)[C@H]2C[C@@H]2C2CC2)ccccc2[nH]c(C=NN=N)nc2c1,-6.3
C=CC(=O)N(C(=O)OCCCCCl)c1c(C#N)sc2ccc3ccccc3c12,-6.6
C#CC1=CC=C2C=C[C@@H]3CCCC[C@@H](N(N=N)C(=O)[C@H](N)Cc4ccc(F)cc4)C[C@@]1([NH3+])[C@H]2C3,-7.8
CN1CCC[C@](O)(Cn2nnc(CC(=O)C#N)c2-c2cccc3ccccc23)C1,-9.5
Cc1cc(-n2cc(CCOC3CCOCC3)nn2)[nH+]c2ccc3ccccc3c12,-10.2
CCC[C@@H](C)C(=O)Nc1cccccc2ccccc2c(C#N)c1,-7.3
C#Cc1c(C#N)cc2c3c([nH]c([O-])c13)C(N)=CC2=[N+](C)C1CC(C)C1,-9.1
C#CC1=Cc2cc(c(=O)n([O-])c2C#N)C=CC(N=[N+]=[N-])=CC1=NN=N,-8.1
C[C@@H](O)Cn1cc(CC2=Cc3c(=O)n([O-])c(O)c4cccc(c34)C2=NC(=O)Oc2cccc(Cl)c2)nn1,-8.9
N=NN=Cc1nc2cc3ccc(N)cc3cc2[n-]1,-8.5
CCOc1ccccc1NC(=O)N1[C@@H](c2ccc3ccccc3c2)O[C@H](C=NN=N)[N+]1=C(C)O,-7.1
C#Cc1ccc2cc3nc(C=NN=N)[nH]c3cc2c1N,-8.4
N#CC(=O)C#Cc1cc2cc(ccc(N)cc1[NH+]=NN)C=C2,-8.4
[N-]=[NH+]N=CC1OC(c2ccc3ccccc3c2)NN1C(=O)NCN=C=O,-9.1
O=S(=O)([N-]C(O)=CNC(=S)Nc1cnccc1C(F)(F)F)c1ccc2ccccc2c1,-9.7
Cc1nnn(Cc2cccc(F)c2)c1-c1ccc2c(ccc(N=[N+]=[N-])cc1NN=N)C[N+](C)(C)C2,-7.8
Cc1nnn(-c2cccc(Cl)c2)c1-c1cc2ccccc2c2ccccc12,-10.9
N#CCC(=O)N1NC(c2ccc3ccccc3c2)OC1C=NN=N,-8.4
C[C@@H]1CC[C@@H](CC(=O)N2C(=O)c3ccc(C([NH-])=O)cc(N=[N+]=[N-])cc(Cl)c(c3)C2=O)N1,-8.8
C#CC1=CC=C2C=C[C@H]3C[C@@H]4N=C(C=NN=N)N[C@H]4C[C@H](N=NN)C[C@]1(NC(=S)Nc1ccc(C(=O)OCC)cc1Cl)[C@@H]2C3,-5.0
C#Cc1c(N)ccccc2[n-]c(C=NN=N)nc2cc1C#N,-6.9
Cc1nnn(C(=O)c2ccc3ccccc3c2)c1CN[C@@H]1CCC[C@H](C)C1,-10.1
C[C@H](COC(=S)Nc1ccc2cc3[nH]c(C=NN=N)nc3cc2c1)NN,-8.6
C#Cc1ccc2c(ccc(NC(=O)Nc3ccccc3)cc1NN=N)C[N+](C)(C)C2,-6.9
Cc1nnn(-c2ccccc3cc(c(C#N)c2)C(O)=NC3=O)c1C(=O)N(C)C[C@H](C)O,-8.7
N#Cc1cc2[nH]c(/C=N,0.0
CC1CC(/[N+](C)=C2/C=C(N=[N+]=[N-])c3[nH]c(O)c4cccc2c34)C1,-9.4
CC1CC(/[N+](C)=C2,0.0
N=NN=CC(=O)c1ccc2ccccc2c1,-8.5
N=N/N=C,-2.7
