Input smiles,Docking score
N=CNO,-3.7
CC(C)CN,-3.3
C1CCNCC1,-4.0
C1C2NC3CC3C12,-4.7
C1CC2CNC1CO2,-4.4
C1CC2C3CC1NC23,-5.1
C1CC2NCC1C1CC21,-5.6
CC1CNCC(C)C1C,-4.9
CC1CC2NCC1C1CC21,-5.6
CC1CNCCNCC1C,-5.1
OCC1CCCC(CO)N1,-5.3
CC1CNCC2(CC2O)N1O,-4.9
CC1NC2CC3CCOC3CC23CC13,-6.6
CC(C)C(O)CCCC1CNCC2CC12,-6.5
CC(CCO)CCCC1CNCC2CC12,-6.6
CCCC(C)CCCC1CNCC2CC12,-7.1
CCCCCCCCC(C)C(N)C1CC1,-6.2
CCCC=CCCCC(O)C1NCC2CC21,-6.8
CC(CCCO)CCCC1CNCC2CC12,-7.0
Cc1ccc(C)c(CCC23CNCC2C3)c1,-7.9
Oc1cc(CCC23CNCC2C3)c2c(c1)C2,-8.5
C(CC1CNCC2CC12)CC1CCCC2CN12,-7.3
COc1cccc(C=NC2CCC(C)NC2)c1,-7.5
CC1C(C=CC23CNCC2(C)C3)CCC2OC21,-7.4
C=CCCCCCC(O)C1NC(C)(C)C2CC12,-7.0
NOCc1ccc(O)cc1CCC12CNCC1C2,-8.5
C1=COC2=CC=CC(CCC34CNCC3C4)C2=C1,-8.7
[NH]C(O)c1ccc(O)cc1CCC12CNCC1C2,-8.2
CCCCCCC(C)C(O)C1NC(C)(C)C2CC12,-6.8
CCCCC=CCCC(O)C1NC(C)(C)C2CC12,-7.4
Oc1ccc2c(c1)C1C(C34CNCC3C4)N1C2O,-9.2
Oc1ccccc1CCCCC1CNCC2CC12,-8.7
C=CC(CC1CC23CC2CNC3CC1=C)C(C)C,-7.8
C#CCCCC=CCC(O)C1NC(C)(C)C2CC12,-7.4
CCCCCC=CCCC(O)C1NC(C)C2CC21,-7.3
N=C(O)c1ccc(O)cc1CCC12CNCC1C2,-8.4
CCCCCCCCC(O)C1NC(C)(C)C2CC12,-6.8
Oc1ccc(CCCCC2CNCC3CC23)c(O)c1,-8.7
CC1=CC=C2C(=CC=CC2CCC23CNCC2C3)O1,-8.8
CCCCCC1CC1CC1CCC23CC2CNC3C1,-7.9
C=C1CC2NCC3CC32CC1CC(CCO)C(C)C,-7.5
CC(C)CCCCCCC(O)C1NC(C)(C)C2CC12,-7.1
C=CC1(CC2CC34CC3CNC4CC2=C)CC1(C)C,-8.2
CC(C)C(C)CCC1CC23CC2CNC3C(O)C1C,-7.2
COC1CC12C1=C(C=CC2CCC23CNCC2C3)O1,-7.5
OC(CCCC1CC=CCC1)C12CC1C1CC1CN2,-8.6
C1=NC2=NCC3CC23Cc2c1ccc1ccccc21,-9.3
CCC(C)CC(C)CCC(O)C1NC(C)(C)C2CC12,-7.0
Cc1ccc2c(O)cccc2c1CC12CNCC1C2,-9.3
Oc1c2c(c(CC34CNCC3C4)c3ccccc13)C2O,-8.3
CC(C)CC=CC=CCCC(O)C1NC(C)(C)C2CC12,-7.5
CCCCCCC=CC=CC(O)C1NC(C)(C)C2CC12,-7.8
CC1(C)NC(C(O)CCCC2CC=CCCC2)C2CC21,-8.4
C=CCCCCC=CCCC(O)C1NC(C)(C)C2CC12,-7.5
c1ccc2c(c1)CCCC1OC1C1NCC3CC31CC2,-8.7
CC1(C)NC2=Cc3ccc4ccccc4c3CC23CC13,-10.4
CC1CC1CCC=CCCC(O)C1NC(C)(C)C2CC12,-8.1
CC1CCCC(CCCC(O)C2NC(C)(C)C3CC23)C1,-8.4
CCCCC=CCC=CC=CC(O)C1NC(C)C2CC21,-7.6
O=C(O)c1ccc2ccccc2c1CC12CNCC1C2,-9.4
C=C1CC2NCC3CC32CC1CC1C(C)COC2CC21C,-8.0
CC1(C)NC(C(O)C=CC=CCC=CCC2CC2)C2CC21,-8.2
Oc1cccc2c1CCCC(O)CC1NCC3CC31CC2,-5.4
C=CCC1=CC=C2C(=CC=CC2CCC23CNCC2C3)O1,-9.0
C=C1CC2NCC3CC32CC1CC(C(C)C)C1(C)CC1=O,-6.8
[NH]C(O)N1C(C23CNCC2C3)C1C12CC1c1cc3n(n1)C32,0.0
Oc1cccc2c1CCCC1OC1C1NCC3CC31CC2,-8.8
O=C1CC=Cc2c1ccc(C(=O)O)c2CC12CNCC1C2,-8.4
CN1C2=CC=CC(CCC34CNCC3C4)C2=CCC12CC2,-8.7
O=C1OC12CC=c1c(O)cccc1=C2CC12CNCC1C2,-7.4
COc1ccc2c(c1)C1C(CO2)N1C1CCC(CO)NC1,-8.1
N=C(O)c1ccc2c(O)cccc2c1CC12CNCC1C2,-8.8
