Input smiles,Docking score
COc1ccccc1O,-5.1
NC(=O)c1ccccc1,-5.7
COCC1COC(CO)O1,-4.4
COc1cccc(O)c1O,-5.3
Cc1cccc(C(=O)CCO)c1,-6.4
O=C1Oc2c(ccc3c2OCC3)C1=O,-7.0
CC(CCCN1CCNCC1)C(=O)O,-5.9
COc1c(O)ccc2c1=CCC(=CO)C=2,-7.6
Cc1ccc2c(c1)C(O)C(CO)OC2=O,-7.2
Oc1ccc(C2CC(O)C(O)C2)cc1O,-7.7
Cc1cccc(OCC2COC(CO)O2)c1,-6.9
Cc1cc2c(cc1O)C(=O)OC(CO)C2O,-7.4
OCC1Oc2ccc(Cl)cc2C2CSCC12,-6.6
C=C(Cc1cc(C)c(O)c(OC)c1)C(=O)O,-7.0
O=C1CCCCC1CCCN1CCNCC1,-7.0
COc1ccc(CC(=O)O)c(C(=O)O)c1O,-7.0
O=C1CCC(O)C1CCCN1CCNCC1,-6.5
OCC1OCC(COc2ccc(O)cc2)O1,-6.8
COc1cc(C(=O)O)c2ccc(F)cc2c1,-8.0
CNCc1cc(C)c2c(c1)CC(=CO)CC2,-7.5
CC1OCCC2(CCC(O)C2)c2ccccc21,-8.7
CCCOc1cc(C)c2c(c1)=CC(=CO)CC=2,-7.6
COCCOC(OC)c1cccc(OC)c1O,-5.5
Cc1ccc2c(c1)C(O)(CCO)CC(CO)O2,-6.6
Cc1cc(OCCO)cc2c1=CCC(=CO)C=2,-7.9
O=C(O)C1CC(=O)C(CCCN2CCNCC2)C1,-7.6
Cc1ccc2c(c1)CC(C(=O)O)C1CC=CC=C21,-7.9
CCCc1cc(C)cc(C2CC(O)CC2CC)c1,-7.7
CNCCCCNC(=O)c1ccc(C(O)O)cc1,-7.1
CC1=C2C=c3oc(=O)ncc3=CN2CC(CO)C1,-7.4
C=C(CC=CC)c1ccc(C(C)(C)C(O)O)cc1,-7.9
CCCc1cc(C)cc(C2CC(=O)CC2(C)C)c1,-7.9
O=C1NC(=O)C2c3cccc4cccc(c34)CC12,-8.5
CNCCCCNC(=O)c1ccc(C(C)O)cc1,-7.0
Cc1ccc2c(c1)CC(C(=O)O)c1ccccc1-2,-9.4
Cc1ccc2c(c1)C(O)(C(=O)CO)CC(CO)O2,-5.9
OCCCOc1cc(-c2ccccc2)ccc1CO,-8.6
COc1cccc2c1OCC(O)C2OCCCCO,-6.9
C=C(CCC)c1ccc2c(c1)CCC1CCCC21C,-8.6
C=CCCc1cc(C2CC(O)C(O)C2)cc(O)c1O,-8.2
C=CCCc1cc(C2CC(=O)C(C)C2)cc(O)c1O,-8.2
Cc1c2cncc-2cn2cc3cnc(=O)oc3cc12,-8.0
CC1OC2CC(O)C3CC2(CC3O)c2ccccc21,-8.8
OCc1cccc2c1OC1CCCC3=C1C2CCC3,-7.7
CC1CC(c2cc(O)c(O)c(CCCCO)c2)CC1O,-8.0
Cc1cc2c(C)c3c(cc2c(C)c1O)CC(=O)NC3=O,-8.1
CC1=C2C=c3oc(=O)ncc3=CN2C=C2C=NCC=C21,-8.2
CC1=C2C=c3oc(=O)ncc3=CN2C=C2C=NC=C=C21,-8.2
O=C1C2CCCC2N2c3cccc4cccc(c34)CC12,-7.8
COCC1=C2C=C(OC)C=C2C(CCNC(C)=O)=NC1,-7.0
CC1=C2C=c3oc(=O)ncc3=CN2C=C2C=NNC=C21,-8.0
O=c1ncc2c(o1)=CC1=C3C=CC=CC3C(O)CN1C=2,-8.5
C=CCCc1cc(C2CC(=O)C(CO)C2)cc(O)c1O,-8.3
O=C1CC2Oc3c(cccc3-c3ccccc32)OCCN1,-6.9
Cc1ccc2c(c1)C1CCCC(=O)C1c1cc(O)ccc1-2,-8.7
COc1ccc2c(c1)C1C(=O)CCC1c1cc(C)ccc1-2,-7.7
CCCCc1cc(C)cc(C2CC(O)C3NCCCC23)c1,-8.6
CC(=CC=CC(=O)O)c1ccc2c(c1)OC1C(F)COC21,-8.8
CC1CC2C(N1)C(=O)C1Cc3cccc4cccc(c34)N12,-9.4
Cc1cc2c(C)c3c(cc2c(C)c1O)CC(C)(C)CC3O,-7.3
CC12CCC(C)(O1)C1N=C(C(=O)O)C=C1c1ccccc12,-7.7
CC1CCCC2Oc3c(cccc3OCC1)CC2C(=O)O,-8.2
CC(O)C1=NC2C(=C1)c1ccccc1C1(C)CCC2(C)O1,-7.1
CC12CCC(C)(O1)C1N=C(C(O)O)C=C1c1ccccc12,-7.0
O=c1ncc2c(o1)=CC1=C3C=CC=CC3C(CO)CN1C=2,-8.7
O=C(O)C1Cc2cccc3c2OC1CCCC(CO)CO3,-7.6
CC(O)CN1CC(C)CC2c3cccc(O)c3C(=O)C=CC21,-6.5
O=c1ncc2c(o1)=CC1=C3C=CC=C4N=CC=C(CN1C=2)C43,-9.6
Cc1cc2c(C)c3c(cc2c(C)c1O)CC(CCO)CC3O,-7.9
CCNC(=O)CCCOC1c2cccc(OC)c2OCC1O,-7.2
OC=c1cccc2c1=CCc1cc(O)c(C(O)CCO)cc1-2,-9.0
CC=c1cccc2c1=CCc1cc(O)c(C(O)CCO)cc1-2,-8.5
CC12CCC(CO)(O1)C1C=C(C(=O)O)C=C1c1ccccc12,-7.0
CC1(C(F)(F)F)N=CC2=CN3CC(C(N)=O)=CC=C3C=C2O1,-9.2
COc1ccc(CN(C)C)cc1-c1cc(O)c(O)cc1CO,-6.5
C=C(Cc1cc(C)c(O)c(OC)c1)C(=O)NCC1=CCCC1,-8.5
C=C(Cc1cc(C)c(O)c(OC)c1)C(=O)N1CCC(C)(C)C1,-8.4
CC1CC2=C3c4c(cccc4CC4CC(C)CN(C34)N2C)C1,-7.6
O=C1CCOc2cccc(C34CCC5CC(=O)C(CC53)C4)c21,-8.5
CCN1Cc2c(C=CC(=O)O)ccc(C=O)c2CC(C)C1=O,-5.5
CC(=O)N(Cc1ccc(O)cc1)c1ccc(C(C)(C)O)cc1,-7.8
COC(=O)OC1COC(C)(C)c2ccc(C3CCNC3)cc21,-6.0
O=C(CO)CCc1cc(O)cc(-c2ccccc2)c1C(=O)O,-7.9
CCNCCC1NC(=O)C2Cc3cccc4cccc(c34)N12,-7.5
O=C(O)C1Cc2cccc3c2OC1CCC1CCCC1CO3,-8.9
CCCc1cc(C)cc(C2CC(=O)CC2C(=O)NC(C)C)c1,-7.0
CC(C)Cc1ccc2c(c1)-c1cccc(CO)c1OC2(C)CO,-7.2
CN(C)Cc1ccc2c(c1)-c1c(CO)cc(O)c(O)c1OCO2,-7.5
CC12CCC=C1C1Cc3ccccc3-c3ccc(C=O)c(c31)C2,-8.3
CC(C)c1c(O)c(O)cc2c1C(=O)N(CCCCO)C(=O)CO2,-7.0
O=Cc1ccc2c3c1CC1CC(O)CC1C3Cc1ccccc1-2,-7.1
CC1CC2c3cccc(O)c3C(=O)CC3CC(CCO)N(C1)C32,-7.7
CCCc1cc(C)cc(C2CC(O)C3C=CC([N+](=O)[O-])CC23)c1,-7.8
O=c1ncc2c(o1)=CC1=C3C=CC=C4N=CC(F)=C(CN1C=2)C43,-10.0
CCCc1c(O)c(O)cc2c1C(=O)N(CCCCO)C(=O)CO2,-8.0
NC(=O)NCC1NC(=O)C2COc3c(O)ccc4c3C2C1CC4,-10.0
CCC=Cc1ccc(C(=O)NCCCCN)cc1CCCCC,-7.6
Oc1cc(CC2CCNC3CCCC23)cc(C2CCCC2)c1O,-9.8
COc1cc2c(cc1O)OCC(=O)N(CCCCCCO)C2=O,-8.1
COc1cc(O)c2c(c1)C1CC3CN(C)CCN3C(=O)C1CO2,-8.2
O=Cc1ccc2c3c1CC1CC(=O)CC1C3Cc1ccccc1-2,-8.9
COCCCOc1cc2c3c(c1O)CCCC3CC(C(N)=O)C2,-8.0
COC1=C2CCCCC3(C)C(=O)N=C(CCNC(C)=O)C(=C1)C23,-7.2
COc1cc2c(cc1O)OCC(=O)N(CCCOCCO)C2=O,-7.3
C=C(Cc1cc(C)c(O)c(OC)c1)C(=O)NCc1cccnc1,-8.5
