Input smiles,Docking score
N#Cc1sc2ccc3ccccc3c2c1N=C=O,-7.2
C#C[C@@](O[C@](O)(OCC=CC=CCO)C(O)(Cl)Cl)(c1ccc2ccccc2c1)C(C)(C)C,-6.9
[N-]=[N+]=Nc1c(Cl)ccc2cc(cc([N+](=O)[O-])c1NN=N)C=C2,-6.0
C[C@H]1CC(OC(=O)c2cnoc2)=[N+](C)N1c1ccc2ccccc2c1,-8.9
C#C[C@@](OC1(O)OC1(Cl)Cl)(c1ccc2ccccc2c1)C(C)(C)C,-8.0
O=C(O)CCOCCOCCn1cc(CCS(=O)(=O)c2ccc3ccccc3c2)nn1,-8.5
N#Cc1c(Cl)nc2ccccc2c1-n1cc(Cc2cc3ccccc3c3ccccc23)nn1,-8.3
Cc1cc(N)nc2ccc3ccccc3c12,-8.9
C#Cc1ccc2c3c([n-]c(OC(C)=O)c13)C(N=[N+]=[N-])=CC2=N[C@@H](C)CC1CC1,-6.4
N#Cc1c(Cl)ccc2cc(cc([N+](=O)[O-])c1[NH2+]N=N)C=C2,-7.5
C#C[C@](N=[N+]=[N-])(c1ccc2ccccc2c1)C(C)(C)C,-8.4
CC(=O)NC(=S)Oc1[n-]c2c3c(cccc13)C(=N[C@@H](C)CC1CC1)C=C2N=[N+]=[N-],-5.4
CCOC(=O)N(CCN=[N+]=[N-])C(=O)c1cc2ccccc2c2ccccc12,-6.0
Cc1cc(N)[nH+]c2ccc3ccccc3c12,-9.4
NN=Nc1c(N)cc2c3c(cccc13)C=C2,-8.2
COc1ccccc1C=CC(=O)n1nnc(CC(=O)C#N)c1-c1cccc2ccccc12,-7.7
COC(O)=[N+]1N[C@@H](c2ccc3ccccc3c2)O[C@@H]1CN=[N+]=[N-],-9.1
C[N+]1(C)Cc2cc3ccc(N=[N+]=[N-])cc3cc2C1,-7.7
[N-]=[N+]=Nc1cc(N=C2N=C(NC(=S)Nc3ccc([N+](=O)[O-])cc3)N2)c(F)c2ccccc12,-9.6
C[C@@H](CC1CC1)Nc1cc(N)c2c3c(cccc13)C(O)=N2,-8.2
C[CH]C[C@H](C)C(=O)N1C(=N)OC(c2cccc3ccccc23)N1C(=O)[C@@H]1CCO[C@H]1CN,-4.5
[N-]=[N+]=Nc1ccc(OC[C@H]2[C@@H]3C[C@@H]3CN2C(=O)c2ccccc2)c2ccccc12,-9.9
C#C[C@@H](CC)OCc1ccccc1-n1nnc(CC)c1C[N+](C)(C)Cc1ccc2ccccc2c1,-7.5
Cc1ccc(OCC(=O)NC(=S)N2NC(N=[N+]=[N-])OC2c2cccc3ccccc23)c(C)c1,-8.7
C=C[C@@H](CC)OCc1ccccc1-n1nnc(C)c1COc1ccc2ccccc2c1,-8.9
Nc1nnc(-c2cccc3ccccc23)o1,-8.7
C#Cc1c(N=[N+]=[N-])c(Cl)c(N=[N+]=[N-])c2cc3c(cc12)C[N+](C)(C)C3,-4.8
C[C@H]1CC(=O)N(C)N1c1ccc2c3c(ccc(NC(=O)NC[C@@H]4CCCO4)c13)CC2,-5.4
N#Cc1sc2ccc3ccccc3c2c1NC(=O)O[C@H]1CCCC12CC2,-6.7
Nc1cc2ccc3ccccc3c2oc1=O,-8.5
C#C[C@@](OC1([O-])OC1(Cl)Cl)(c1ccc2ccccc2c1)C(C)(C)C,-8.3
N=NN=CC1OC(c2cccc3ccccc23)NN1C(=O)[C@@H](O)[C@H](O)CO,-8.5
C[C@H]1C=C(OC(=O)Nc2cccc(C#N)c2)N(C)N1c1ccc2ccccc2c1,-9.4
CCCCOC(=O)c1ccc(NC(=O)OC(C)(C)C#Cc2cccc3ccccc23)cc1,-8.2
Cc1nnn(-c2ccc3c4c(ccc(N5[C@@H](C)CC(=O)N5C)c24)CC3)c1CNC(=O)CC1CCC1,-0.5
Cc1ccccc1[C@H](OC[C@@H](O)COC(C)(C)C#Cc1ccc2ccccc2c1)C(F)(F)F,-8.0
C[C@@H](CC1CC1)[NH+]=C1C=C(n2cc(CCNC(=O)CC3CCC3)nn2)c2[nH]c(C#N)c3cccc1c23,-5.1
CCNC(=S)NCC(C)(C)SC(=O)C#Cc1ccc2ccccc2c1,-7.9
O=c1oc2c(ccc3ccccc32)cc1NC(=S)Nc1ccc2cn[nH]c2c1,-11.0
C[C@H]1C=C(C#N)N(C)N1c1ccc2c3c(ccc([N-]C(=O)C=CO)c13)CC2,-6.7
CCC[C@@H](CC)OCc1ccccc1-n1nnc(Cc2ccc3ccccc3c2)c1C(=O)C#N,-7.9
C[C@H](SC(=O)Nc1ccc2c3c(ccc(N4[C@@H](C)CC(=O)N4C)c13)CC2)[C@@H](C)OCc1cnc[nH]1,-5.3
CCN[C@H](C)[C@H](C)C(=O)N1CC(C)(C)OC1=NC(=O)C#Cc1ccc2ccccc2c1,-7.4
C#C[C@@](OC(=S)N[C@H](C)C1CC1)(c1ccc2ccccc2c1)C(C)(C)C,-7.8
CC(C)(C)SCC(=O)NCCn1cc(Cc2c(N=[N+]=[N-])c(Cl)c3cccc4c3c2C=C4)nn1,-9.0
N#Cc1sc2ccc3ccccc3c2c1N,-7.3
CCOC(=O)c1[nH]c(C)cc1NC(=S)n1nc(-c2cccc3ccccc23)oc1=N,-9.6
N[C@H](Cc1cn(C(=O)c2ccc3ccccc3c2)nn1)c1ccccc1O,-10.2
Cc1nnn(-c2ccccc2COC[C@@H]2CCCCO2)c1-c1ccc2ccc3cccc4ccc1c2c34,-6.2
C[C@](O)(COC(=Nc1ccc(ON)cc1)c1ccc2ccccc2c1)c1cccc(C(F)(F)F)c1,-8.6
NN=Nc1c(C=O)cc2c3c(cccc13)C=C2,-8.0
Cc1cc(N=[N+]=[N-])nc2ccc3ccccc3c12,-8.6
C#Cc1cc2cc(ccc(Cl)c(Cl)c1N=[N+]=[N-])C=C2,-7.7
N#CC(=O)C#Cc1cc2cc(cc([N+](=O)[O-])c([NH2+]N=N)c(Cl)c1Cl)C=C2,-5.6
C[N+]1(C)Cc2ccc([N+](=O)[O-])c(N=NN)cccc(C#CC(=O)C#N)c2C1,-3.5
N#Cc1sc2ccc3ccccc3c2c1N=C=O,-7.2
Cc1cc(=N)[nH]c2ccc3ccccc3c12,-9.2
N=[N+]=Nc1ccc(OC[C@@H]2[NH2+]C[C@H]3C[C@H]32)c2ccccc12,-9.6
CC#CC[N+](C)(C)Cc1ccc2c3c([n-]c([O-])c13)C(N=[N+]=[N-])=CC2=N[C@@H](C)CC1CC1,-7.2
C[N+]1(C)Cc2ccc([N+](=O)[O-])c(N=NN)ccc(F)cc2C1,-7.5
N=N/N=C,-2.7
N=NNc1c([N+](=O)[O-])cc2cc(ccc(Cl)c1Cl)C=C2,-6.5
NOc1ccc([N-]C(=O)c2ccc3ccccc3c2)cc1,-9.5
[N-]=[N+]=Nc1c(Cl)c(Cl)c2ccc3cccc4ccc1c2c34,-8.8
N#Cc1sc2ccc3ccccc3c2c1N,-7.8
C#Cc1cc2ccccc2cc1N1[C@@H](C)C=C(O)N1C,-7.3
C[C@@H]1CCC[C@H]1OC(=O)C#Cc1ccc2ccccc2c1,-9.1
C[C@H]1C=C(O)N(C)N1c1ccc2c3c(ccc(NC(=O)/C=C,0.0
C[CH]C[C@H](C)C(=O)n1nc(-c2ccc3c(O)[n-]c4c3c2/C(=N,0.0
C[C@H]1CC(O[C@H](C#N)C=O)=[N+](C)N1c1ccc2ccccc2c1,-8.7
N#Cc1sc2ccc3ccccc3c2c1N=[N+]=[N-],-7.4
C[N+]1(C)CC2CCCCCC([N+](=O)[O-])CCC2(C(=O)N=[N+]=[N-])C1,-5.8
C[N+]1(C)Cc2cc(F)ccc(N=NN)c([N+](=O)[O-])c(-c3[nH+]nc(N=[N+]=[N-])o3)cc2C1,-1.3
