Model,Top 10 Average Docking Score,pdb
3DSBDD,-9.05,1iep
Autogrow4,-13.229999999999999,1iep
Pocket2mol,-10.17,1iep
PocketFlow,-12.489999999999998,1iep
ResGen,-10.97,1iep
dst,-10.95,1iep
graph_ga,-10.03,1iep
mimosa,-10.959999999999999,1iep
moldqn,-6.730000000000001,1iep
pasithea,-10.86,1iep
reinvent,-9.870000000000001,1iep
screening,-10.860000000000001,1iep
selfies_vae_bo,-10.15,1iep
smiles_ga,-9.56,1iep
smiles_lstm_hc,-10.379999999999999,1iep
smiles_vae_bo,-9.930000000000001,1iep
3DSBDD,-10.02,3eml
Autogrow4,-13.030000000000001,3eml
Pocket2mol,-12.25,3eml
PocketFlow,-9.250000000000002,3eml
ResGen,-9.25,3eml
dst,-10.67,3eml
graph_ga,-9.889999999999999,3eml
mimosa,-10.690000000000001,3eml
moldqn,-6.510000000000001,3eml
pasithea,-10.31,3eml
reinvent,-9.48,3eml
screening,-10.9,3eml
selfies_vae_bo,-9.76,3eml
smiles_ga,-9.559999999999999,3eml
smiles_lstm_hc,-10.3,3eml
smiles_vae_bo,-9.780000000000001,3eml
3DSBDD,-10.1,3ny8
Autogrow4,-11.7,3ny8
Pocket2mol,-11.89,3ny8
PocketFlow,-8.559999999999999,3ny8
ResGen,-10.959999999999999,3ny8
dst,-10.54,3ny8
graph_ga,-9.940000000000001,3ny8
mimosa,-10.51,3ny8
moldqn,-7.090000000000001,3ny8
pasithea,-10.690000000000001,3ny8
reinvent,-9.609999999999998,3ny8
screening,-10.73,3ny8
selfies_vae_bo,-9.99,3ny8
smiles_ga,-10.0,3ny8
smiles_lstm_hc,-10.190000000000001,3ny8
smiles_vae_bo,-9.96,3ny8
3DSBDD,-9.8,4rlu
Autogrow4,-11.2,4rlu
Pocket2mol,-10.570000000000002,4rlu
PocketFlow,-9.65,4rlu
ResGen,-11.749999999999998,4rlu
dst,-10.88,4rlu
graph_ga,-10.219999999999999,4rlu
mimosa,-10.81,4rlu
moldqn,-6.790000000000001,4rlu
pasithea,-10.919999999999998,4rlu
reinvent,-9.690000000000001,4rlu
screening,-10.86,4rlu
selfies_vae_bo,-10.0,4rlu
smiles_ga,-9.610000000000001,4rlu
smiles_lstm_hc,-10.49,4rlu
smiles_vae_bo,-10.05,4rlu
3DSBDD,-8.23,4unn
Autogrow4,-11.14,4unn
Pocket2mol,-12.2,4unn
PocketFlow,-7.9,4unn
ResGen,-9.41,4unn
dst,-9.709999999999999,4unn
graph_ga,-9.32,4unn
mimosa,-9.66,4unn
moldqn,-5.920000000000001,4unn
pasithea,-9.690000000000001,4unn
reinvent,-8.7,4unn
screening,-9.8,4unn
selfies_vae_bo,-9.02,4unn
smiles_ga,-8.8,4unn
smiles_lstm_hc,-9.36,4unn
smiles_vae_bo,-9.030000000000001,4unn
3DSBDD,-8.709999999999999,5mo4
Autogrow4,-10.38,5mo4
Pocket2mol,-10.070000000000002,5mo4
PocketFlow,-7.8,5mo4
ResGen,-10.340000000000002,5mo4
dst,-10.030000000000001,5mo4
graph_ga,-9.29,5mo4
mimosa,-10.02,5mo4
moldqn,-6.2700000000000005,5mo4
pasithea,-9.77,5mo4
reinvent,-8.92,5mo4
screening,-9.91,5mo4
selfies_vae_bo,-9.180000000000001,5mo4
smiles_ga,-9.210000000000003,5mo4
smiles_lstm_hc,-9.71,5mo4
smiles_vae_bo,-9.180000000000001,5mo4
3DSBDD,-8.47,7l11
Autogrow4,-8.84,7l11
Pocket2mol,-9.739999999999998,7l11
PocketFlow,-8.35,7l11
ResGen,-8.739999999999998,7l11
dst,-8.330000000000002,7l11
graph_ga,-7.75,7l11
mimosa,-8.33,7l11
moldqn,-6.87,7l11
pasithea,-8.059999999999999,7l11
reinvent,-7.25,7l11
screening,-8.150000000000002,7l11
selfies_vae_bo,-7.75,7l11
smiles_ga,-7.539999999999999,7l11
smiles_lstm_hc,-7.9,7l11
smiles_vae_bo,-7.74,7l11
